timestamp,zone,latitude,longitude,pressure,flow,expected_pressure,expected_flow
2026-09-19 18:00,B12,30.3501,76.8302,49.8,100.5,50.0,100.0
2026-09-19 18:30,B12,30.3501,76.8302,49.5,101.2,50.0,100.0
2026-09-19 19:00,B12,30.3501,76.8302,48.9,103.0,50.0,100.0
2026-09-19 19:30,B12,30.3501,76.8302,47.2,106.8,50.0,100.0
2026-09-19 20:00,B12,30.3501,76.8302,44.5,112.5,50.0,100.0
2026-09-19 20:30,B12,30.3501,76.8302,41.0,118.0,50.0,100.0
2026-09-19 21:00,B12,30.3501,76.8302,38.2,124.5,50.0,100.0
2026-09-19 21:30,B12,30.3501,76.8302,36.5,127.8,50.0,100.0
2026-09-19 22:00,B12,30.3501,76.8302,35.4,129.2,50.0,100.0
2026-09-19 22:30,B12,30.3501,76.8302,34.8,130.0,50.0,100.0
2026-09-19 23:00,B12,30.3501,76.8302,34.2,130.8,50.0,100.0
2026-09-19 23:30,B12,30.3501,76.8302,34.0,131.0,50.0,100.0
2026-09-19 18:00,C07,30.3620,76.8450,51.8,80.5,52.0,80.0
2026-09-19 18:30,C07,30.3620,76.8450,51.5,81.0,52.0,80.0
2026-09-19 19:00,C07,30.3620,76.8450,50.8,82.4,52.0,80.0
2026-09-19 19:30,C07,30.3620,76.8450,49.2,85.0,52.0,80.0
2026-09-19 20:00,C07,30.3620,76.8450,47.5,88.5,52.0,80.0
2026-09-19 20:30,C07,30.3620,76.8450,46.0,91.2,52.0,80.0
2026-09-19 21:00,C07,30.3620,76.8450,45.1,93.0,52.0,80.0
2026-09-19 21:30,C07,30.3620,76.8450,44.8,94.2,52.0,80.0
2026-09-19 22:00,C07,30.3620,76.8450,44.5,95.0,52.0,80.0
2026-09-19 22:30,C07,30.3620,76.8450,44.2,95.4,52.0,80.0
2026-09-19 23:00,C07,30.3620,76.8450,44.0,95.6,52.0,80.0
2026-09-19 23:30,C07,30.3620,76.8450,43.8,95.8,52.0,80.0
2026-09-19 18:00,A04,30.3380,76.8150,47.9,60.2,48.0,60.0
2026-09-19 18:30,A04,30.3380,76.8150,47.8,60.5,48.0,60.0
2026-09-19 19:00,A04,30.3380,76.8150,47.5,61.0,48.0,60.0
2026-09-19 19:30,A04,30.3380,76.8150,47.0,62.1,48.0,60.0
2026-09-19 20:00,A04,30.3380,76.8150,46.2,63.2,48.0,60.0
2026-09-19 20:30,A04,30.3380,76.8150,45.5,64.0,48.0,60.0
2026-09-19 21:00,A04,30.3380,76.8150,45.0,64.8,48.0,60.0
2026-09-19 21:30,A04,30.3380,76.8150,44.6,65.2,48.0,60.0
2026-09-19 22:00,A04,30.3380,76.8150,44.4,65.5,48.0,60.0
2026-09-19 22:30,A04,30.3380,76.8150,44.3,65.6,48.0,60.0
2026-09-19 23:00,A04,30.3380,76.8150,44.2,65.7,48.0,60.0
2026-09-19 23:30,A04,30.3380,76.8150,44.1,65.8,48.0,60.0
2026-09-19 18:00,D02,30.3750,76.8200,49.9,90.1,50.0,90.0
2026-09-19 19:00,D02,30.3750,76.8200,50.1,89.8,50.0,90.0
2026-09-19 20:00,D02,30.3750,76.8200,49.8,90.3,50.0,90.0
2026-09-19 21:00,D02,30.3750,76.8200,50.0,90.1,50.0,90.0
2026-09-19 22:00,D02,30.3750,76.8200,50.2,89.7,50.0,90.0
2026-09-19 23:00,D02,30.3750,76.8200,49.9,90.0,50.0,90.0
2026-09-19 18:00,E15,30.3310,76.8520,48.1,110.2,48.0,110.0
2026-09-19 19:00,E15,30.3310,76.8520,47.9,109.8,48.0,110.0
2026-09-19 20:00,E15,30.3310,76.8520,48.0,110.1,48.0,110.0
2026-09-19 21:00,E15,30.3310,76.8520,47.8,110.4,48.0,110.0
2026-09-19 22:00,E15,30.3310,76.8520,48.0,109.9,48.0,110.0
2026-09-19 23:00,E15,30.3310,76.8520,48.1,110.0,48.0,110.0
2026-09-19 18:00,F09,30.3450,76.8650,49.8,70.1,50.0,70.0
2026-09-19 19:00,F09,30.3450,76.8650,49.5,70.4,50.0,70.0
2026-09-19 20:00,F09,30.3450,76.8650,49.1,71.2,50.0,70.0
2026-09-19 21:00,F09,30.3450,76.8650,48.9,71.8,50.0,70.0
2026-09-19 22:00,F09,30.3450,76.8650,48.8,72.1,50.0,70.0
2026-09-19 23:00,F09,30.3450,76.8650,48.7,72.3,50.0,70.0
2026-09-19 18:00,G03,30.3580,76.8020,51.0,85.2,51.0,85.0
2026-09-19 19:00,G03,30.3580,76.8020,51.2,84.9,51.0,85.0
2026-09-19 20:00,G03,30.3580,76.8020,50.9,85.1,51.0,85.0
2026-09-19 21:00,G03,30.3580,76.8020,51.1,84.8,51.0,85.0
2026-09-19 22:00,G03,30.3580,76.8020,51.0,85.0,51.0,85.0
2026-09-19 23:00,G03,30.3580,76.8020,51.0,85.1,51.0,85.0
